ARTICLE NUMBER (SKU),EAN,PRODUCT NAME,PRODUCT PHOTO,DESCRIPTION,BRUTTO PRICE,DROPSHIPPING DISCOUNT,WHOLESALE DISCOUNT,COLOR,MATERIAL,PRODUCT DIMENSIONS AND WEIGHT,,DIMENSIONS AND WEIGHT OF THE SHIPMENT,
2001-S17-N,5904844910363,SIDE BED 2IN1 + ADDICTIONS,,"Set contains:
- two-piece mattress, 4 cm thick, with removable cotton cover, small (90 x 40) and large (90 x 55),
-casing,
- quilt and pillow,
- a set of bedding,
-canopy,
- canopy support,
- set of 4 wheels with a locking mechanism,
- strip for the extra bed function,
- rungs for the bed function,
-a set of all necessary elements for assembly.
Extra bed dimensions: length 90cm, width 55cm.
Bed dimensions: length 90cm, width 40cm.",199.9,0.2,>20% <30%,"NATURAL,
WHITE,
GRAY DOTS","BEECH WOOD,
COTTON,
FOAM",94 cm/ 45-58 cm/ 79-85 cm,13 kg,94 cm/ 60 cm/ 19cm,15 kg
2001-P18-N,5904844910417,SIDE BED 2IN1 + ADDICTIONS,,"Set contains:
- two-piece mattress, 4 cm thick, with removable cotton cover, small (90 x 40) and large (90 x 55),
-casing,
- quilt and pillow,
- a set of bedding,
-canopy,
- canopy support,
- set of 4 wheels with a locking mechanism,
- strip for the extra bed function,
- rungs for the bed function,
-a set of all necessary elements for assembly.
Extra bed dimensions: length 90cm, width 55cm.
Bed dimensions: length 90cm, width 40cm.",199.9,0.2,>20% <30%,NATURAL,"BEECH WOOD,
COTTON,
FOAM",94 cm/ 45-58 cm/ 79-85 cm,13 kg,94 cm/ 60 cm/ 19cm,15 kg
2001-S13-N,5904844910356,SIDE BED 2IN1 + ADDICTIONS,,"Set contains:
- two-piece mattress, 4 cm thick, with removable cotton cover, small (90 x 40) and large (90 x 55),
-casing,
- quilt and pillow,
- a set of bedding,
-canopy,
- canopy support,
- set of 4 wheels with a locking mechanism,
- strip for the extra bed function,
- rungs for the bed function,
-a set of all necessary elements for assembly.
Extra bed dimensions: length 90cm, width 55cm.
Bed dimensions: length 90cm, width 40cm.",199.9,0.2,>20% <30%,"NATURAL,
WHITE,
BLUE AND GRAY STARS","BEECH WOOD,
COTTON,
FOAM",94 cm/ 45-58 cm/ 79-85 cm,13 kg,94 cm/ 60 cm/ 19cm,15 kg
2001-S81-N,5904844910349,SIDE BED 2IN1 + ADDICTIONS,,"Set contains:
- two-piece mattress, 4 cm thick, with removable cotton cover, small (90 x 40) and large (90 x 55),
-casing,
- quilt and pillow,
- a set of bedding,
-canopy,
- canopy support,
- set of 4 wheels with a locking mechanism,
- strip for the extra bed function,
- rungs for the bed function,
-a set of all necessary elements for assembly.
Extra bed dimensions: length 90cm, width 55cm.
Bed dimensions: length 90cm, width 40cm.",199.9,0.2,>20% <30%,"NATURAL,
GRAY,
WHITE DOTS","BEECH WOOD,
COTTON,
FOAM",94 cm/ 45-58 cm/ 79-85 cm,13 kg,94 cm/ 60 cm/ 19cm,15 kg
2001-SX18-N,5904844910387,SIDE BED 2IN1 + ADDICTIONS,,"Set contains:
- two-piece mattress, 4 cm thick, with removable cotton cover, small (90 x 40) and large (90 x 55),
-casing,
- quilt and pillow,
- a set of bedding,
-canopy,
- canopy support,
- set of 4 wheels with a locking mechanism,
- strip for the extra bed function,
- rungs for the bed function,
-a set of all necessary elements for assembly.
Extra bed dimensions: length 90cm, width 55cm.
Bed dimensions: length 90cm, width 40cm.",199.9,0.2,>20% <30%,"NATURAL,
WHITE,
GRAY STARS","BEECH WOOD,
COTTON,
FOAM",94 cm/ 45-58 cm/ 79-85 cm,13 kg,94 cm/ 60 cm/ 19cm,15 kg
2001-SX81-N,5904844910370,SIDE BED 2IN1 + ADDICTIONS,,"Set contains:
- two-piece mattress, 4 cm thick, with removable cotton cover, small (90 x 40) and large (90 x 55),
-casing,
- quilt and pillow,
- a set of bedding,
-canopy,
- canopy support,
- set of 4 wheels with a locking mechanism,
- strip for the extra bed function,
- rungs for the bed function,
-a set of all necessary elements for assembly.
Extra bed dimensions: length 90cm, width 55cm.
Bed dimensions: length 90cm, width 40cm.",199.9,0.2,>20% <30%,"NATURAL,
GRAY,
WHITE STARS","BEECH WOOD,
COTTON,
FOAM",94 cm/ 45-58 cm/ 79-85 cm,13 kg,94 cm/ 60 cm/ 19cm,15 kg
2001-P8-N,5904844913579,SIDE BED 2IN1 + ADDICTIONS,,"Set contains:
- two-piece mattress, 4 cm thick, with removable cotton cover, small (90 x 40) and large (90 x 55),
-casing,
- quilt and pillow,
- a set of bedding,
-canopy,
- canopy support,
- set of 4 wheels with a locking mechanism,
- strip for the extra bed function,
- rungs for the bed function,
-a set of all necessary elements for assembly.
Extra bed dimensions: length 90cm, width 55cm.
Bed dimensions: length 90cm, width 40cm.",199.9,0.2,>20% <30%,"NATURAL, 
OWLS","BEECH WOOD,
COTTON,
FOAM",94 cm/ 45-58 cm/ 79-85 cm,13 kg,94 cm/ 60 cm/ 19cm,15 kg
2001-L8-N,5904844913586,SIDE BED 2IN1 + ADDICTIONS,,"Set contains:
- two-piece mattress, 4 cm thick, with removable cotton cover, small (90 x 40) and large (90 x 55),
-casing,
- quilt and pillow,
- a set of bedding,
-canopy,
- canopy support,
- set of 4 wheels with a locking mechanism,
- strip for the extra bed function,
- rungs for the bed function,
-a set of all necessary elements for assembly.
Extra bed dimensions: length 90cm, width 55cm.
Bed dimensions: length 90cm, width 40cm.",199.9,0.2,>20% <30%,"NATURAL,
FOREST","BEECH WOOD,
COTTON,
FOAM",94 cm/ 45-58 cm/ 79-85 cm,13 kg,94 cm/ 60 cm/ 19cm,15 kg
2001-01-W,5903957708034,SIDE BED 2IN1 + MATTRESS ,,"Technical informations:
- The two-piece mattress is 6 cm thick. It is a medium-firm foam mattress.
- The mattress comes with a cover that can be easily washed at 30℃, size 90 cm x 55 cm.
- The crib can be adjusted in 7 levels, raising the height by 3.2 cm each time.
- The set includes elements necessary for assembly.",159.9,0.2,>20% <30%,WHITE,"BEECH WOOD,
COTTON,
FOAM",94 cm/ 45-58 cm/ 79-85 cm,13 kg,94 cm/ 60 cm/ 15cm,14 kg
2001N-88-W,5903957708904,SIDE BED 2IN1 + MATTRESS + COVER,,"Technical informations:
- The two-piece mattress is 6 cm thick. It is a medium-firm foam mattress.
- The mattress comes with a cover that can be easily washed at 30℃, size 90 cm x 55 cm.
- The cover is 270 cm long, 23 cm wide and made of cotton.
- The floor of the extension can be adjusted on 5 levels, in the range of 27-55 cm.
- The set includes elements necessary for assembly.",174.9,0.2,>20% <30%,WHITE,"BEECH WOOD,
COTTON,
FOAM",94 cm/ 45-58 cm/ 79-85 cm,13 kg,94 cm/ 60 cm/ 15cm,14 kg
2001N-SMIX-W,5903957708911,SIDE BED 2IN1 + MATTRESS + COVER,,"Technical informations:
- The two-piece mattress is 6 cm thick. It is a medium-firm foam mattress.
- The mattress comes with a cover that can be easily washed at 30℃, size 90 cm x 55 cm.
- The cover is 270 cm long, 23 cm wide and made of cotton.
- The floor of the extension can be adjusted on 5 levels, in the range of 27-55 cm.
- The set includes elements necessary for assembly.",174.9,0.2,>20% <30%,"WHITE,
GREY
STARS","BEECH WOOD,
COTTON,
FOAM",94 cm/ 45-58 cm/ 79-85 cm,13 kg,94 cm/ 60 cm/ 15cm,14 kg
2001N-8S1-W,5903957708898,SIDE BED 2IN1 + MATTRESS + COVER,,"Technical informations:
- The two-piece mattress is 6 cm thick. It is a medium-firm foam mattress.
- The mattress comes with a cover that can be easily washed at 30℃, size 90 cm x 55 cm.
- The cover is 270 cm long, 23 cm wide and made of cotton.
- The floor of the extension can be adjusted on 5 levels, in the range of 27-55 cm.
- The set includes elements necessary for assembly.",174.9,0.2,>20% <30%,"WHITE,
GREY
STARS","BEECH WOOD,
COTTON,
FOAM",94 cm/ 45-58 cm/ 79-85 cm,13 kg,94 cm/ 60 cm/ 15cm,14 kg
2001N-38-W,5903957708959,SIDE BED 2IN1 + MATTRESS + COVER,,"Technical informations:
- The two-piece mattress is 6 cm thick. It is a medium-firm foam mattress.
- The mattress comes with a cover that can be easily washed at 30℃, size 90 cm x 55 cm.
- The cover is 270 cm long, 23 cm wide and made of cotton.
- The floor of the extension can be adjusted on 5 levels, in the range of 27-55 cm.
- The set includes elements necessary for assembly.",174.9,0.2,>20% <30%,"WHITE,
BLUE ","BEECH WOOD,
COTTON,
FOAM",94 cm/ 45-58 cm/ 79-85 cm,13 kg,94 cm/ 60 cm/ 15cm,14 kg
2001N-77-W,5903957708966,SIDE BED 2IN1 + MATTRESS + COVER,,"Technical informations:
- The two-piece mattress is 6 cm thick. It is a medium-firm foam mattress.
- The mattress comes with a cover that can be easily washed at 30℃, size 90 cm x 55 cm.
- The cover is 270 cm long, 23 cm wide and made of cotton.
- The floor of the extension can be adjusted on 5 levels, in the range of 27-55 cm.
- The set includes elements necessary for assembly.",174.9,0.2,>20% <30%,"WHITE,
PINK","BEECH WOOD,
COTTON,
FOAM",94 cm/ 45-58 cm/ 79-85 cm,13 kg,94 cm/ 60 cm/ 15cm,14 kg
2001N-S17-W,5903957708980,SIDE BED 2IN1 + MATTRESS + COVER,,"Technical informations:
- The two-piece mattress is 6 cm thick. It is a medium-firm foam mattress.
- The mattress comes with a cover that can be easily washed at 30℃, size 90 cm x 55 cm.
- The cover is 270 cm long, 23 cm wide and made of cotton.
- The floor of the extension can be adjusted on 5 levels, in the range of 27-55 cm.
- The set includes elements necessary for assembly.",174.9,0.2,>20% <30%,"WHITE, 
GRAY AND PINK
STARS ","BEECH WOOD,
COTTON,
FOAM",94 cm/ 45-58 cm/ 79-85 cm,13 kg,94 cm/ 60 cm/ 15cm,14 kg
